Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
Total Sub Grupo : BC,,,,,,nan,,,30.0,0.0,0.0,0.0,30.0,,906043.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,CG,CARGA,H700CGNN0002,GRILLETE 2in,UN,1.0,0.0,0.0,0.0,1.0,956.0,956.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,CG,CARGA,H700CGNN0012,GRILLETE  1/2in,UN,3.0,0.0,0.0,0.0,3.0,1045.0,3135.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,CG,CARGA,H700CGZNNN07,GRILLETE ZN 3/4,UN,1.0,0.0,0.0,0.0,1.0,6916.67,6917.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : CG,,,,,,nan,,,5.0,0.0,0.0,0.0,5.0,,11008.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,CT,CORTE,H700CT000004,CUCHILLO CARTONERO,UN,2.0,0.0,0.0,0.0,2.0,3561.0,7122.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : CT,,,,,,nan,,,2.0,0.0,0.0,0.0,2.0,,7122.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,EL,ELECTRICO,H200ELMAKI02,ESMERIL ANGULAR 7IN MAKITA 2200W,UN,2.0,0.0,0.0,0.0,2.0,158413.0,316826.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,EL,ELECTRICO,H200ELMAKI10,ESMERIL ANGULAR 4 1/2  9557HP MAKITA,UN,1.0,0.0,0.0,0.0,1.0,24495.0,24495.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,EL,ELECTRICO,H200ELMK0005,BATERIA DE MOCHILA PDC1200A02 + ADAPTADOR,UN,1.0,0.0,0.0,0.0,1.0,872500.0,872500.0,SM_STOCK CASA MATRIZ.xlsx
Total Sub Grupo : EL,,,,,,nan,,,4.0,0.0,0.0,0.0,4.0,,1213821.0,SM_STOCK CASA MATRIZ.xlsx
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,FI,FILTROS,H100FI000014,FILTRO AIRE,UN,1.0,0.0,0.0,0.0,1.0,13680.0,13680.0,SM_STOCK CASA MATRIZ.xlsx
